file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.808490344725406,-45.86544239905573,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.806254340277775,-53.53278057391827,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.003068015304464,-46.88812077463155,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,corpus,-45.43421684118674,-45.73363597621859,3.6099060479595213,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.2371793659201,-52.340785393348106,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.83800136920103,-50.95724868774414,2.5633459565624697,12.358243745435463
